,Symbol,LTP,Point Change,% Change,Open,High,Low,Volume,Prev. Close
89,LBBL,                                        324.00,                                        -1.10,                                        -0.34,                                        322.00,                                        325.00,                                        320.00,"                                        14,799.00",                                        325.10
90,LBL,                                        200.00,                                        1.10,                                        0.55,                                        198.90,                                        200.00,                                        198.00,"                                        3,458.00",                                        198.90
91,LEC,                                        216.00,                                        0.00,                                        0.00,                                        215.00,                                        216.00,                                        213.00,"                                        1,748.00",                                        216.00
92,LEMF,                                        7.80,                                        0.11,                                        1.43,                                        7.84,                                        7.99,                                        7.80,"                                        4,750.00",                                        7.69
93,LICN,"                                        1,417.90",                                        -32.10,                                        -2.21,"                                        1,469.00","                                        1,469.00","                                        1,415.20","                                        5,272.00","                                        1,450.00"
94,LLBS,"                                        1,047.00",                                        -5.00,                                        -0.48,"                                        1,052.00","                                        1,055.00","                                        1,047.00",                                        188.00,"                                        1,052.00"
95,LUK,                                        7.95,                                        0.07,                                        0.89,                                        7.95,                                        7.95,                                        7.95,                                        100.00,                                        7.88
96,MBJC,                                        209.80,                                        -2.20,                                        -1.04,                                        208.20,                                        212.00,                                        208.20,"                                        3,135.00",                                        212.00
97,MBL,                                        220.00,                                        -1.00,                                        -0.45,                                        221.00,                                        221.00,                                        219.00,"                                        11,732.00",                                        221.00
98,MDB,                                        383.50,                                        -2.50,                                        -0.65,                                        392.00,                                        392.00,                                        383.20,"                                        6,657.00",                                        386.00
99,MEGA,                                        212.80,                                        -1.60,                                        -0.75,                                        214.00,                                        216.00,                                        212.60,"                                        39,069.00",                                        214.40
100,MEGAPO,                                        124.00,                                        4.00,                                        3.33,                                        124.00,                                        124.00,                                        124.00,"                                        115,865.00",                                        120.00
101,MEN,                                        739.00,                                        -2.70,                                        -0.36,                                        727.00,                                        739.00,                                        717.00,"                                        4,055.00",                                        741.70
102,MERO,                                        770.00,                                        -7.90,                                        -1.02,                                        765.00,                                        780.30,                                        763.00,"                                        1,809.00",                                        777.90
103,MFIL,                                        419.00,                                        -7.00,                                        -1.64,                                        429.00,                                        429.00,                                        417.00,"                                        13,813.00",                                        426.00
104,MHL,                                        314.10,                                        -0.90,                                        -0.29,                                        308.90,                                        315.10,                                        308.90,"                                        1,779.00",                                        315.00
105,MHNL,                                        252.90,                                        -0.10,                                        -0.04,                                        255.00,                                        255.00,                                        248.20,"                                        12,643.00",                                        253.00
106,MKJC,                                        400.00,                                        1.70,                                        0.43,                                        394.00,                                        402.90,                                        394.00,"                                        2,790.00",                                        398.30
107,MKLB,                                        834.20,                                        -15.80,                                        -1.86,                                        836.00,                                        849.00,                                        834.20,                                        156.00,                                        850.00
108,MLBBL,"                                        1,010.00",                                        0.00,                                        0.00,"                                        1,010.00","                                        1,010.00","                                        1,010.00",                                        69.00,"                                        1,010.00"
109,MLBL,                                        341.00,                                        -1.50,                                        -0.44,                                        345.00,                                        345.40,                                        340.10,"                                        18,189.00",                                        342.50
110,MLBS,                                        994.70,                                        -25.30,                                        -2.48,"                                        1,036.00","                                        1,036.00",                                        994.70,                                        465.00,"                                        1,020.00"
111,MLBSL,"                                        4,005.00",                                        1.00,                                        0.02,"                                        3,976.00","                                        4,049.00","                                        3,976.00",                                        623.00,"                                        4,004.00"
112,MMF1,                                        7.07,                                        -0.20,                                        -2.75,                                        7.26,                                        7.26,                                        7.07,"                                        3,200.00",                                        7.27
113,MMFDB,                                        894.00,                                        1.00,                                        0.11,                                        900.00,                                        905.00,                                        893.00,                                        208.00,                                        893.00
114,MNBBL,                                        422.50,                                        -2.50,                                        -0.59,                                        431.00,                                        431.00,                                        421.00,"                                        6,294.00",                                        425.00
115,MPFL,                                        298.00,                                        -8.00,                                        -2.61,                                        302.20,                                        303.00,                                        294.10,"                                        6,001.00",                                        306.00
116,MSLB,"                                        1,009.40",                                        -5.60,                                        -0.55,"                                        1,035.30","                                        1,035.30","                                        1,009.40",                                        586.00,"                                        1,015.00"
117,NABBC,                                        348.10,                                        -17.80,                                        -4.86,                                        369.70,                                        369.70,                                        348.10,"                                        1,530.00",                                        365.90
118,NABIL,                                        881.00,                                        -7.00,                                        -0.79,                                        884.00,                                        890.00,                                        879.00,"                                        51,341.00",                                        888.00
119,NADEP,                                        779.30,                                        -86.53,                                        -9.99,                                        883.10,                                        883.10,                                        779.30,"                                        1,984.00",                                        865.83
120,NBF2,                                        7.89,                                        -0.16,                                        -1.99,                                        7.89,                                        7.89,                                        7.89,"                                        1,650.00",                                        8.05
121,NBF3,                                        7.42,                                        -0.01,                                        -0.13,                                        7.49,                                        7.50,                                        7.37,"                                        1,800.00",                                        7.43
122,NBL,                                        275.50,                                        -2.50,                                        -0.90,                                        278.00,                                        280.00,                                        275.50,"                                        29,175.00",                                        278.00
123,NBLD87,                                        862.40,                                        -17.60,                                        -2.00,                                        862.40,                                        862.40,                                        862.40,                                        50.00,                                        880.00
124,NCCB,                                        181.80,                                        -1.00,                                        -0.55,                                        181.10,                                        183.40,                                        181.00,"                                        42,276.00",                                        182.80
125,NCCD86,                                        900.00,                                        -4.90,                                        -0.54,                                        900.00,                                        900.00,                                        900.00,                                        50.00,                                        904.90
126,NEF,                                        8.00,                                        0.00,                                        0.00,                                        7.96,                                        8.10,                                        7.96,"                                        8,400.00",                                        8.00
127,NESDO,"                                        3,390.00",                                        55.00,                                        1.65,"                                        3,400.00","                                        3,403.00","                                        3,326.00","                                        4,045.00","                                        3,335.00"
128,NFS,                                        260.00,                                        -1.90,                                        -0.73,                                        260.00,                                        260.00,                                        251.60,"                                        11,665.00",                                        261.90
129,NGPL,                                        205.90,                                        -3.10,                                        -1.48,                                        210.00,                                        214.00,                                        205.90,"                                        57,328.00",                                        209.00
130,NHDL,                                        315.40,                                        -4.60,                                        -1.44,                                        314.00,                                        319.90,                                        314.00,"                                        2,983.00",                                        320.00
131,NHPC,                                        198.10,                                        -3.90,                                        -1.93,                                        203.00,                                        204.00,                                        198.00,"                                        30,937.00",                                        202.00
132,NIB,                                        235.00,                                        -7.12,                                        -2.94,                                        242.10,                                        242.10,                                        234.00,"                                        27,482.00",                                        242.12
133,NIBLPF,                                        8.10,                                        0.14,                                        1.76,                                        8.00,                                        8.10,                                        8.00,"                                        2,975.00",                                        7.96
134,NIBPO,                                        226.00,                                        -1.30,                                        -0.57,                                        222.80,                                        226.00,                                        214.10,                                        142.00,                                        227.30
135,NIBSF2,                                        7.10,                                        -0.10,                                        -1.39,                                        7.08,                                        7.10,                                        7.08,                                        620.00,                                        7.20
136,NICA,                                        688.30,                                        -4.70,                                        -0.68,                                        686.00,                                        699.00,                                        686.00,"                                        36,633.00",                                        693.00
137,NICBF,                                        8.48,                                        -0.07,                                        -0.82,                                        8.50,                                        8.50,                                        8.46,"                                        21,700.00",                                        8.55
138,NICFC,                                        7.86,                                        0.06,                                        0.77,                                        7.70,                                        7.95,                                        7.70,"                                        2,420.00",                                        7.80
139,NICGF,                                        9.01,                                        -0.16,                                        -1.74,                                        9.01,                                        9.01,                                        9.00,"                                        6,380.00",                                        9.17
140,NICL,                                        416.50,                                        -7.50,                                        -1.77,                                        424.00,                                        425.00,                                        416.50,"                                        1,503.00",                                        424.00
